QUESTION_ID,QUESTION,ANS_LONG,IS_ON_TOPIC,ANS_SHORT
1000014613,do you speak french ?," <p>Watson is currently English-only. However, support for more languages is planned, although no specific timelines are released. The content that is used for training a Watson system must be in English. Translation APIs or translation service capabilities can be used to enable users to ask questions and receive answers in another language.</p>",TRUE,
1000017307,What languages can you answer questions in?," <p>Watson is currently English-only. However, support for more languages is planned, although no specific timelines are released. The content that is used for training a Watson system must be in English. Translation APIs or translation service capabilities can be used to enable users to ask questions and receive answers in another language.</p>",TRUE,
1000017448,can watson understand other languages?," <p>Watson is currently English-only. However, support for more languages is planned, although no specific timelines are released. The content that is used for training a Watson system must be in English. Translation APIs or translation service capabilities can be used to enable users to ask questions and receive answers in another language.</p>",TRUE,
1000017494,"if watson is currently english only, does that mean that knowledge is only gathered from documents that are available in english?"," <p>IBM Content Analytics with Enterprise Search, Version 3.0 supports 26 languages: Arabic, Chinese - Simplified, Chinese - Traditional, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Norwegian Bokmal, Polish, Portuguese, Portuguese-Brazilian, Russian, Slovakian, Slovenian, Spanish, Swedish and Turkish.</p><span></span>",TRUE,
1000017503,what is the value in cognitive computing," <p>Cognitive computing systems learn and interact naturally with people to extend what either humans or machines could do on their own. They help humans make better decisions by penetrating the complexity of Big Data. <a href=""http://www.youtube.com/watch?v=np1sJ08Q7lw"">http://www.youtube.com/watch?v=np1sJ08Q7lw</a>.</p><span></span>",TRUE,
1000018762,What is the QAAPI?," <p>The Question API (QAPI) provides services that IBM Watson-enabled applications and tools can use to submit questions to the question answering pipeline and to obtain a set of answers, supporting evidence, and an evidence profile.</p>",TRUE,
1000014584,When was Watson incented," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000014584,When was Watson incented," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017273,when was Watson invented," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017298,When was Watson invented?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017333,how was watson introduced to the public?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017355,Who was responsible for starting the Watson project," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017383,Who first conceived Watson?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017384,When did the Watson project start?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017386,when was watson started?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017433,What does IBM stand for?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017434,Who made Watson?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000017462,when did watson start?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018507,when was watson project started?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018529,who create watson," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018540,who is the inventor of watson," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018560,when the project begin?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018809,whats your age," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000018842,tell me your history," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
1000057866,Who created Watson?," <p>Watson was created in 2007 when a team of scientists from IBM((R)) Research collaborated with leading universities to create a computer system that could perform well enough on open-domain question answering to compete with champions on Jeopardy!, the quiz show known for its complex and tricky questions. The team dubbed the system <i>Watson</i> as a tribute to the founder of the International Business Machines Corporation, Thomas J. Watson.
</p><p>In February 2011, the team realized their goal and exceeded expectations when Watson appeared on Jeopardy! and beat the two highest ranked players in a two-game match. The competition was the ultimate test of the machine's capabilities because it relied on many human cognitive abilities that are traditionally considered to be beyond the capability of computers, such as:
</p><p>- Discern double meanings of words, puns, rhymes, and inferred hints.</p>
<p>- Respond rapidly.</p>
<p>- Process vast amounts of information to make complex and subtle logical connections.</p>
<p>For the Watson team, replicating these capabilities was an enormous challenge, because it moved beyond keyword searches and queries of structured data to accessing and assessing a vast amount of unstructured data to find the best answers. IBM knew that the solution to this challenge had the potential to change the way businesses use information and make decisions. And the transformation has begun.
</p>",True,
